Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Australia,SC05Q01,01,1.14,0.29,455,22.74,442,24.02,459,21.61
Australia,SC05Q01,02,7.27,1.11,509,8.91,505,8.63,522,8.54
Australia,SC05Q01,03,41.22,1.79,513,2.13,500,2.04,518,2.54
Australia,SC05Q01,04,46.85,1.64,514,2.68,509,2.73,525,2.67
Australia,SC05Q01,05,1.65,0.36,526,11.82,524,12.90,553,13.68
Australia,SC05Q01,06,0.12,0.12,a  ,a  ,a  ,a  ,a  ,a  
Australia,SC05Q01,07,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,SC05Q01,m,0.30,0.29,a  ,a  ,a  ,a  ,a  ,a  
Australia,SC05Q01,09,0.26,0.20,468,16.26,486,14.63,513,10.38
Australia,SC05Q01,98,1.18,0.44,493,10.47,503,9.49,521,7.46
Austria,SC05Q01,01,11.52,2.57,462,16.85,492,15.85,487,16.47
Austria,SC05Q01,02,15.92,2.76,438,10.43,462,10.39,460,9.32
Austria,SC05Q01,03,37.17,3.48,503,6.81,513,5.96,516,6.20
Austria,SC05Q01,04,23.79,2.81,509,8.51,530,8.03,530,7.08
Austria,SC05Q01,05,3.35,1.30,569,9.36,568,8.54,566,8.95
Austria,SC05Q01,06,0.57,0.57,550,5.03,589,2.49,590,4.02
Austria,SC05Q01,07,0.44,0.45,a  ,a  ,a  ,a  ,a  ,a  
Austria,SC05Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,SC05Q01,09,5.21,1.85,486,19.57,487,18.54,486,21.01
Austria,SC05Q01,98,2.04,1.00,442,35.62,451,31.65,449,29.24
Belgium,SC05Q01,01,14.21,1.82,418,9.11,435,8.85,421,8.70
Belgium,SC05Q01,02,34.60,2.84,495,6.38,503,6.43,494,6.15
Belgium,SC05Q01,03,42.65,3.04,547,4.80,550,5.01,542,4.39
Belgium,SC05Q01,04,6.61,1.41,550,13.33,540,12.99,532,10.26
Belgium,SC05Q01,05,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Belgium,SC05Q01,06,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Belgium,SC05Q01,07,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
