Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Australia,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Belgium,PA02Q01,1,0.55,0.15,a  ,a  ,a  ,a  ,a  ,a  
Belgium,PA02Q01,2,6.06,0.37,491,6.58,496,6.65,484,6.68
Belgium,PA02Q01,3,34.30,0.79,534,3.15,547,3.45,532,3.41
Belgium,PA02Q01,4,36.02,0.87,543,3.43,558,3.77,545,3.64
Belgium,PA02Q01,5,18.28,0.63,532,4.18,547,4.59,537,4.38
Belgium,PA02Q01,m,4.77,0.37,488,7.47,496,7.84,498,7.72
Canada,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chile,PA02Q01,1,5.98,0.29,426,5.48,404,4.67,426,5.48
Chile,PA02Q01,2,17.90,0.61,437,3.79,415,3.84,437,3.96
Chile,PA02Q01,3,23.80,0.59,446,3.93,429,4.36,450,3.99
Chile,PA02Q01,4,21.62,0.51,456,3.38,438,3.60,461,3.52
Chile,PA02Q01,5,19.76,0.57,452,4.09,432,4.51,458,4.05
Chile,PA02Q01,m,10.95,0.48,423,4.31,402,4.02,425,3.84
Czech Republic,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Denmark,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Denmark,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Denmark,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Denmark,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Denmark,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Denmark,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Estonia,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Estonia,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Estonia,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Estonia,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Estonia,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Estonia,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Finland,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Finland,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Finland,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Finland,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Finland,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Finland,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
France,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
France,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
France,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
France,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
France,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
France,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Germany,PA02Q01,1,0.79,0.21,a  ,a  ,a  ,a  ,a  ,a  
Germany,PA02Q01,2,7.83,0.50,498,6.96,501,8.62,511,7.21
Germany,PA02Q01,3,26.28,0.83,518,4.46,524,4.59,533,4.77
Germany,PA02Q01,4,36.59,0.77,542,3.52,549,3.80,559,4.02
Germany,PA02Q01,5,23.25,0.84,534,4.41,536,4.64,548,4.93
Germany,PA02Q01,m,5.26,0.41,478,8.67,470,8.35,489,8.52
Greece,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Hungary,PA02Q01,1,3.73,0.30,457,7.78,441,6.96,458,6.74
Hungary,PA02Q01,2,18.23,0.65,475,4.16,464,4.05,478,3.90
Hungary,PA02Q01,3,32.31,0.79,503,3.43,492,3.58,508,3.01
Hungary,PA02Q01,4,18.17,0.65,508,4.53,498,4.47,514,4.24
Hungary,PA02Q01,5,13.54,0.59,499,6.45,488,7.40,507,6.29
Hungary,PA02Q01,m,14.02,0.68,458,5.71,441,5.41,466,5.71
Iceland,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Italy,PA02Q01,1,0.61,0.07,395,15.45,403,14.27,398,15.77
Italy,PA02Q01,2,5.03,0.15,451,4.71,449,4.31,455,4.63
Italy,PA02Q01,3,23.80,0.46,484,2.68,481,2.56,487,2.47
Italy,PA02Q01,4,35.33,0.46,505,2.16,498,2.17,506,2.03
Italy,PA02Q01,5,29.67,0.43,510,2.48,503,2.56,513,2.40
