OECD PISA 2012 Data File - Interactive Selection
,
Variable: ,PA02Q02,Parent Age - Mother
Full question:,How old are the child’s parents? - Mother                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Category: ,1,Younger than 36 years
,2,36 – 40 years
,3,41 – 45 years
,4,46 – 50 years
,5,51 years or older

,
 , , , , ,Reading,Reading,Mathematics,Mathematics,Science,Science
Country,Variable,Category,%,%SE,Mean,SE,Mean,SE,Mean,SE
Australia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Australia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Belgium,PA02Q02,1,2.00,0.24,472,10.51,477,10.42,459,11.33
Belgium,PA02Q02,2,14.46,0.66,501,4.66,507,5.00,495,4.64
Belgium,PA02Q02,3,43.06,0.69,535,3.01,550,3.31,535,3.13
Belgium,PA02Q02,4,29.54,0.72,547,3.34,563,3.38,551,3.48
Belgium,PA02Q02,5,8.54,0.40,533,6.51,548,7.76,541,6.76
Belgium,PA02Q02,m,2.40,0.23,499,11.06,508,11.22,507,11.18
Canada,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chile,PA02Q02,1,15.41,0.52,424,3.91,402,3.22,424,3.69
Chile,PA02Q02,2,25.27,0.62,440,3.59,420,3.67,442,3.42
Chile,PA02Q02,3,25.48,0.52,449,3.73,432,3.90,454,3.75
Chile,PA02Q02,4,19.39,0.56,457,3.54,439,4.02,462,3.65
Chile,PA02Q02,5,11.42,0.46,454,4.75,434,5.04,457,4.68
Chile,PA02Q02,m,3.04,0.27,415,6.00,400,6.85,425,7.33
Czech Republic,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
