Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Australia,SC01Q01,1,58.72,0.50,495,2.36,489,2.32,506,2.45
Australia,SC01Q01,2,41.28,0.50,535,2.12,526,2.33,544,2.42
Australia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,SC01Q01,1,91.12,2.32,486,3.35,502,3.15,502,3.23
Austria,SC01Q01,2,8.57,2.31,534,12.12,547,13.76,551,11.48
Austria,SC01Q01,m,0.32,0.27,a  ,a  ,a  ,a  ,a  ,a  
Belgium,SC01Q01,1,31.59,2.10,471,6.37,474,5.59,468,5.53
Belgium,SC01Q01,2,68.41,2.10,526,3.19,533,3.09,522,3.02
Belgium,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Canada,SC01Q01,1,91.86,0.72,519,2.22,514,2.02,523,2.18
Canada,SC01Q01,2,8.14,0.72,567,6.49,570,5.98,557,5.20
Canada,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chile,SC01Q01,1,35.47,1.46,410,4.96,390,4.99,412,4.48
Chile,SC01Q01,2,62.45,1.72,459,3.29,442,3.71,463,3.54
Chile,SC01Q01,m,2.08,1.08,432,15.47,399,10.61,445,14.28
Czech Republic,SC01Q01,1,91.35,1.90,491,3.87,498,3.76,507,3.74
Czech Republic,SC01Q01,2,8.65,1.90,507,14.19,505,15.30,521,13.59
Czech Republic,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Denmark,SC01Q01,1,75.63,1.79,489,3.11,494,2.53,491,2.87
Denmark,SC01Q01,2,24.37,1.79,519,5.72,520,5.57,521,6.60
Denmark,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Estonia,SC01Q01,1,96.11,1.06,516,2.06,520,2.00,541,1.97
Estonia,SC01Q01,2,3.89,1.06,532,20.10,527,19.30,548,22.86
Estonia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Finland,SC01Q01,1,96.82,0.68,523,2.48,518,2.05,545,2.29
Finland,SC01Q01,2,3.18,0.68,552,7.84,539,7.20,559,7.81
Finland,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
France,SC01Q01,1,79.97,1.37,503,3.38,490,3.19,495,3.19
France,SC01Q01,2,19.54,1.24,527,8.40,520,5.92,519,6.54
France,SC01Q01,m,0.49,0.49,a  ,a  ,a  ,a  ,a  ,a  
Germany,SC01Q01,1,93.58,1.61,506,3.57,511,3.53,521,3.79
Germany,SC01Q01,2,6.42,1.61,542,14.56,551,15.91,559,14.77
Germany,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,SC01Q01,1,93.59,1.08,474,3.47,450,2.67,464,3.28
Greece,SC01Q01,2,6.13,1.04,530,9.31,506,11.29,514,9.42
Greece,SC01Q01,m,0.29,0.29,a  ,a  ,a  ,a  ,a  ,a  
Hungary,SC01Q01,1,83.52,2.94,485,3.84,475,3.44,493,3.37
Hungary,SC01Q01,2,16.48,2.94,508,10.48,490,13.70,506,11.31
Hungary,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,SC01Q01,1,99.46,0.05,483,1.79,493,1.70,478,2.10
Iceland,SC01Q01,2,0.54,0.05,a  ,a  ,a  ,a  ,a  ,a  
Iceland,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,SC01Q01,1,41.85,0.41,510,4.51,492,3.92,511,4.19
Ireland,SC01Q01,2,58.15,0.41,533,2.84,508,2.63,530,2.87
Ireland,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,SC01Q01,1,100.00,0.00,485,5.03,466,4.69,469,4.95
Israel,SC01Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Italy,SC01Q01,1,94.58,0.75,492,2.28,487,2.35,495,2.11
Italy,SC01Q01,2,5.42,0.75,487,8.31,484,6.81,498,7.36
Italy,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Japan,SC01Q01,1,70.14,1.16,537,3.81,535,3.34,548,3.55
Japan,SC01Q01,2,29.86,1.16,541,9.29,540,9.62,544,9.43
Japan,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Korea,SC01Q01,1,52.54,4.09,529,6.19,546,7.10,532,5.64
Korea,SC01Q01,2,47.46,4.09,544,5.65,563,6.35,545,5.11
Korea,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,SC01Q01,1,84.65,0.07,487,1.68,492,1.25,493,1.44
Luxembourg,SC01Q01,2,15.35,0.07,490,2.70,479,2.41,483,2.30
Luxembourg,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Mexico,SC01Q01,1,87.98,0.85,418,1.66,408,1.46,410,1.50
Mexico,SC01Q01,2,12.02,0.85,463,5.29,449,5.07,449,4.12
Mexico,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,SC01Q01,1,32.44,4.24,508,9.81,516,10.00,519,9.19
Netherlands,SC01Q01,2,67.56,4.24,509,5.26,521,5.38,519,5.38
Netherlands,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,SC01Q01,1,93.76,1.53,509,2.87,496,2.47,512,2.58
New Zealand,SC01Q01,2,6.24,1.53,597,6.04,584,6.12,595,6.81
New Zealand,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,SC01Q01,1,98.28,0.98,504,3.20,489,2.75,494,3.19
Norway,SC01Q01,2,1.72,0.98,561,25.48,546,15.80,549,13.72
Norway,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,SC01Q01,1,97.07,0.40,517,3.11,516,3.62,524,3.12
Poland,SC01Q01,2,2.93,0.40,568,17.00,571,13.02,573,15.22
Poland,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Portugal,SC01Q01,1,89.91,1.98,482,3.75,481,3.83,484,3.82
Portugal,SC01Q01,2,10.09,1.98,540,7.94,543,8.35,539,9.51
Portugal,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,SC01Q01,1,90.95,2.39,458,4.97,478,4.14,468,4.38
Slovak Republic,SC01Q01,2,9.05,2.39,513,19.77,520,19.05,508,16.98
Slovak Republic,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,SC01Q01,1,97.57,0.13,481,1.25,501,1.30,514,1.36
Slovenia,SC01Q01,2,2.43,0.13,571,6.50,589,6.93,601,6.68
Slovenia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,SC01Q01,1,66.96,0.87,476,2.53,471,2.50,485,2.52
Spain,SC01Q01,2,32.66,0.80,512,2.86,510,2.55,519,2.41
Spain,SC01Q01,m,0.38,0.38,a  ,a  ,a  ,a  ,a  ,a  
Sweden,SC01Q01,1,86.04,0.73,480,3.27,476,2.40,482,3.26
Sweden,SC01Q01,2,13.96,0.73,505,9.19,491,7.87,501,8.34
Sweden,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,SC01Q01,1,93.70,1.32,509,2.85,532,3.31,515,3.01
Switzerland,SC01Q01,2,6.30,1.32,504,11.23,519,14.31,514,8.39
Switzerland,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,SC01Q01,1,98.41,0.85,475,4.16,447,4.86,463,3.93
Turkey,SC01Q01,2,1.30,0.83,553,26.49,505,11.85,512,5.29
Turkey,SC01Q01,m,0.29,0.17,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,SC01Q01,1,54.84,3.06,492,4.09,485,3.63,506,4.13
United Kingdom ,SC01Q01,2,45.16,3.06,512,7.67,508,6.87,529,7.03
United Kingdom ,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,SC01Q01,1,93.01,0.94,497,4.07,482,3.96,498,4.17
United States of America,SC01Q01,2,6.99,0.94,519,13.28,486,10.69,508,13.31
United States of America,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
OECD Total,SC01Q01,1,82.37,0.45,490,1.38,481,1.44,492,1.47
OECD Total,SC01Q01,2,17.54,0.45,519,2.70,514,2.63,520,2.64
