Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Australia,SC26Q01,1,24.17,1.56,528,3.81,517,4.05,535,4.11
Australia,SC26Q01,2,69.14,1.75,508,2.13,502,2.03,519,2.21
Australia,SC26Q01,3,6.50,0.99,495,4.80,482,5.42,502,5.85
Australia,SC26Q01,4,0.02,0.00,a  ,a  ,a  ,a  ,a  ,a  
Australia,SC26Q01,m,0.17,0.01,535,9.59,511,9.54,537,9.28
Austria,SC26Q01,1,55.09,4.35,493,5.52,505,5.33,508,5.55
Austria,SC26Q01,2,43.19,4.38,486,7.10,507,6.76,504,6.75
Austria,SC26Q01,3,0.09,0.09,a  ,a  ,a  ,a  ,a  ,a  
Austria,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Austria,SC26Q01,m,1.64,1.17,473,44.12,499,34.10,495,30.41
Belgium,SC26Q01,1,17.93,2.38,529,10.82,536,12.25,527,10.80
Belgium,SC26Q01,2,68.30,2.53,511,3.66,517,3.81,507,3.61
Belgium,SC26Q01,3,10.58,1.87,472,15.40,475,12.59,468,13.05
Belgium,SC26Q01,4,0.38,0.37,523,3.58,551,4.86,520,3.15
Belgium,SC26Q01,m,2.82,1.03,459,19.28,463,20.38,458,22.48
Canada,SC26Q01,1,30.76,2.23,531,3.80,528,3.93,532,3.46
Canada,SC26Q01,2,58.44,2.41,520,2.51,514,2.24,522,2.34
Canada,SC26Q01,3,8.70,1.21,521,7.66,516,6.13,530,5.24
Canada,SC26Q01,4,1.02,0.49,513,18.24,504,12.67,518,6.99
Canada,SC26Q01,m,1.09,0.61,516,12.68,489,13.09,512,15.30
Chile,SC26Q01,1,18.13,3.22,460,7.59,440,9.10,461,8.95
Chile,SC26Q01,2,67.19,4.05,441,3.69,423,3.51,445,3.44
Chile,SC26Q01,3,13.19,2.83,421,11.69,400,12.26,428,11.94
Chile,SC26Q01,4,0.83,0.82,386,4.83,371,5.04,393,2.45
Chile,SC26Q01,m,0.66,0.67,401,1.40,393,3.05,377,2.74
Czech Republic,SC26Q01,1,31.62,2.86,500,7.86,505,7.47,511,8.10
Czech Republic,SC26Q01,2,63.55,3.08,490,4.84,497,4.95,508,4.37
Czech Republic,SC26Q01,3,0.42,0.30,511,46.45,501,55.99,529,47.22
Czech Republic,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Czech Republic,SC26Q01,m,4.41,1.49,464,19.07,465,26.51,480,21.61
Denmark,SC26Q01,1,52.48,3.29,501,4.18,505,3.21,504,3.72
